Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Afghanistan,0,Primary,Male,0,Asia
Albania,6,Primary,Male,0,Europe
Algeria,0,Primary,Male,0,Africa
Andorra,0,Primary,Male,0,Europe
Angola,0,Primary,Male,0,Africa
Anguilla,0,Primary,Male,0,Americas
Antigua and Barbuda,4,Primary,Male,0,Americas
Argentina,0,Primary,Male,0,Americas
Armenia,9,Primary,Male,0,Asia
Australia,0,Primary,Male,0,Oceania
Austria,0,Primary,Male,0,Europe
Azerbaijan,10,Primary,Male,0,Asia
The Bahamas,0,Primary,Male,0,Americas
Bahrain,2,Primary,Male,0,Asia
Bangladesh,0,Primary,Male,0,Asia
Barbados,1,Primary,Male,0,Americas
Belarus,1,Primary,Male,0,Europe
Belgium,1,Primary,Male,0,Europe
Belize,1,Primary,Male,0,Americas
Benin,3,Primary,Male,0,Africa
Bhutan,5,Primary,Male,0,Asia
Bolivia,5,Primary,Male,0,Americas
Bosnia and Herzegovina,0,Primary,Male,0,Europe
Botswana,12,Primary,Male,0,Africa
Brazil,1,Primary,Male,0,Americas
British Virgin Islands,4,Primary,Male,0,Americas
Brunei,0,Primary,Male,0,Asia
Bulgaria,13,Primary,Male,0,Europe
Burkina Faso,21,Primary,Male,0,Africa
Burundi,9,Primary,Male,0,Africa
Cape Verde,6,Primary,Male,0,Africa
Cambodia,9,Primary,Male,0,Asia
Cameroon,4,Primary,Male,0,Africa
Canada,0,Primary,Male,0,Americas
Central African Republic,0,Primary,Male,0,Africa
Chad,17,Primary,Male,0,Africa
Chile,1,Primary,Male,0,Americas
China,0,Primary,Male,0,Asia
Colombia,3,Primary,Male,0,Americas
Comoros,18,Primary,Male,0,Africa
Republic of the Congo,15,Primary,Male,0,Africa
Cook Islands,2,Primary,Male,0,Oceania
Costa Rica,3,Primary,Male,0,Americas
Ivory Coast,2,Primary,Male,0,Africa
Croatia,0,Primary,Male,0,Europe
Cuba,1,Primary,Male,0,Americas
Cyprus,0,Primary,Male,0,Asia
Czech Republic,1,Primary,Male,0,Europe
North Korea,0,Primary,Male,0,Asia
Democratic Republic of the Congo,0,Primary,Male,0,Africa
Denmark,1,Primary,Male,0,Europe
Djibouti,32,Primary,Male,0,Africa
Dominica,4,Primary,Male,0,Americas
Dominican Republic,4,Primary,Male,0,Americas
Ecuador,0,Primary,Male,0,Americas
Egypt,0,Primary,Male,0,Africa
El Salvador,14,Primary,Male,0,Americas
Equatorial Guinea,56,Primary,Male,1,Africa
Eritrea,45,Primary,Male,0,Africa
Estonia,2,Primary,Male,0,Europe
Eswatini,15,Primary,Male,0,Africa
Ethiopia,11,Primary,Male,0,Africa
Fiji,1,Primary,Male,0,Oceania
Finland,1,Primary,Male,0,Europe
France,0,Primary,Male,0,Europe
Gabon,0,Primary,Male,0,Africa
The Gambia,19,Primary,Male,0,Africa
Georgia,2,Primary,Male,0,Asia
Germany,1,Primary,Male,0,Europe
Ghana,1,Primary,Male,0,Africa
Greece,2,Primary,Male,0,Europe
Grenada,0,Primary,Male,0,Americas
Guatemala,11,Primary,Male,0,Americas
Guinea,15,Primary,Male,0,Africa
Guinea0Bissau,0,Primary,Male,0,Africa
Guyana,0,Primary,Male,0,Americas
Haiti,0,Primary,Male,0,Americas
Vatican City,0,Primary,Male,0,Europe
Honduras,11,Primary,Male,0,Americas
Hungary,4,Primary,Male,0,Europe
Iceland,0,Primary,Male,0,Europe
India,3,Primary,Male,0,Asia
Indonesia,3,Primary,Male,0,Asia
Iran,0,Primary,Male,0,Asia
Iraq,0,Primary,Male,0,Asia
Republic of Ireland,0,Primary,Male,0,Europe
Israel,0,Primary,Male,0,Asia
Italy,3,Primary,Male,0,Europe
Jamaica,0,Primary,Male,0,Americas
Japan,0,Primary,Male,0,Asia
Jordan,18,Primary,Male,0,Asia
Kazakhstan,10,Primary,Male,0,Asia
Kenya,0,Primary,Male,0,Africa
Kiribati,0,Primary,Male,0,Oceania
Kuwait,4,Primary,Male,0,Asia
Kyrgyzstan,0,Primary,Male,0,Asia
Laos,8,Primary,Male,0,Asia
