Countries and areas,Latitude,Longitude,OOSR_Preprimary_Age_Male,OOSR_Preprimary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,High_OOSR_Preprimary,High_OOSR_Primary,High_OOSR_Lower_Secondary,High_OOSR_Upper_Secondary,Region
Afghanistan,33.93911,67.709953,0,0,0,0,0,0,44,69,false,false,false,true,Asia
Albania,41.153332,20.168331,4,2,6,3,6,1,21,15,false,false,false,false,Europe
Algeria,28.033886,1.659626,0,0,0,0,0,0,0,0,false,false,false,false,Africa
Andorra,42.506285,1.521801,0,0,0,0,0,0,0,0,false,false,false,false,Europe
Angola,11.202692,17.873887,31,39,0,0,0,0,0,0,false,false,false,false,Africa
Anguilla,18.220554,63.068615,14,0,0,0,0,0,0,0,false,false,false,false,Americas
Antigua and Barbuda,17.060816,61.796428,14,4,4,1,1,2,14,12,false,false,false,false,Americas
Argentina,38.416097,63.616672,2,2,0,0,0,0,15,7,false,false,false,false,Americas
Armenia,40.069099,45.038189,52,50,9,9,11,9,16,4,true,false,false,false,Asia
Australia,25.274398,133.775136,13,14,0,0,2,3,10,6,false,false,false,false,Oceania
Austria,47.516231,14.550072,0,0,0,0,1,0,10,9,false,false,false,false,Europe
Azerbaijan,40.143105,47.576927,32,19,10,7,0,0,0,0,false,false,false,false,Asia
The Bahamas,25.03428,77.39628,0,0,0,0,23,21,29,24,false,false,false,false,Americas
Bahrain,26.0667,50.5577,31,28,2,3,7,0,18,6,false,false,false,false,Asia
Bangladesh,23.684994,90.356331,0,0,0,0,0,0,41,36,false,false,false,false,Asia
Barbados,13.193887,59.543198,6,10,1,2,7,3,7,3,false,false,false,false,Americas
Belarus,53.709807,27.953389,0,4,1,2,1,1,6,4,false,false,false,false,Europe
Belgium,50.503887,4.469936,3,2,1,0,1,1,1,2,false,false,false,false,Europe
Belize,17.189877,88.49765,18,16,1,1,9,11,38,35,false,false,false,false,Americas
Benin,9.30769,2.315834,15,16,3,10,27,43,46,66,false,false,false,true,Africa
Bhutan,27.514162,90.433601,58,59,5,2,18,6,33,22,true,false,false,false,Asia
Bolivia,16.290154,63.588653,9,8,5,5,13,14,22,22,false,false,false,false,Americas
Bosnia and Herzegovina,43.915886,17.679076,72,73,0,0,0,0,22,19,true,false,false,false,Europe
Botswana,22.328474,24.684866,79,78,12,10,0,0,0,0,true,false,false,false,Africa
Brazil,14.235004,51.92528,0,1,1,1,2,3,16,14,false,false,false,false,Americas
British Virgin Islands,18.420695,64.639968,9,2,4,3,8,7,24,16,false,false,false,false,Americas
Brunei,4.535277,114.727669,17,18,0,0,0,0,19,16,false,false,false,false,Asia
Bulgaria,42.733883,25.48583,19,20,13,13,12,13,10,14,false,false,false,false,Europe
Burkina Faso,12.238333,1.561593,81,81,21,22,48,44,67,65,true,false,true,true,Africa
Burundi,3.373056,29.918886,52,50,9,6,36,31,67,62,true,false,false,true,Africa
Cape Verde,16.5388,23.0418,19,19,6,7,14,13,29,24,false,false,false,false,Africa
Cambodia,12.565679,104.990963,48,44,9,9,12,14,0,0,true,false,false,false,Asia
Cameroon,7.369722,12.354722,56,57,4,13,33,40,50,58,true,false,false,true,Africa
Canada,56.130366,106.346771,0,0,0,0,0,0,6,6,false,false,false,false,Americas
Central African Republic,6.611111,20.939444,0,0,0,0,0,0,0,0,false,false,false,false,Africa
Chad,15.454166,18.732207,85,87,17,35,55,70,71,85,true,false,true,true,Africa
Chile,35.675147,71.542969,8,8,1,2,5,6,5,5,false,false,false,false,Americas
China,35.86166,104.195397,0,0,0,0,0,0,0,0,false,false,false,false,Asia
Colombia,4.570868,74.297333,3,1,3,2,6,5,22,20,false,false,false,false,Americas
Comoros,11.6455,43.3333,71,70,18,18,20,18,52,48,true,false,false,true,Africa
Republic of the Congo,0.228021,15.827659,71,70,15,16,0,0,0,0,true,false,false,false,Africa
Cook Islands,21.236736,159.777671,3,0,2,2,4,6,30,27,false,false,false,false,Oceania
Costa Rica,9.748917,83.753428,4,4,3,3,3,1,7,5,false,false,false,false,Americas
Ivory Coast,7.539989,5.54708,78,78,2,8,41,48,52,64,true,false,true,true,Africa
Croatia,45.1,15.2,5,5,0,0,3,1,16,11,false,false,false,false,Europe
Cuba,21.521757,77.781167,2,2,1,1,10,10,20,15,false,false,false,false,Americas
Cyprus,35.126413,33.429859,1,2,0,1,2,2,6,8,false,false,false,false,Asia
Czech Republic,49.817492,15.472962,10,10,1,0,1,2,3,3,false,false,false,false,Europe
North Korea,40.339852,127.510093,0,0,0,0,0,0,0,0,false,false,false,false,Asia
Democratic Republic of the Congo,4.038333,21.758664,0,0,0,0,0,0,0,0,false,false,false,false,Africa
Denmark,56.26392,9.501785,2,2,1,0,0,1,11,9,false,false,false,false,Europe
Djibouti,11.825138,42.590275,85,88,32,35,48,48,66,67,true,false,true,true,Africa
